MSZoning,LotArea,Utilities,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,BsmtQual,BsmtCond,CentralAir,KitchenQual,GarageType,GarageArea,GarageQual,GarageCond,SalePrice
FV,11096,AllPub,1Story,8,5,2006,Gable,Gd,TA,Y,Gd,Attchd,826,TA,TA,249700
RM,4456,AllPub,2Story,4,5,1920,Gable,TA,TA,Y,TA,Attchd,0,TA,TA,113000
RL,7742,AllPub,1Story,5,7,1966,Gable,TA,TA,Y,TA,Attchd,386,TA,TA,127000
RL,13869,AllPub,2Story,6,6,1997,Gable,Gd,TA,Y,TA,Attchd,388,TA,TA,177000
RM,6240,AllPub,1.5Fin,6,6,1934,Gable,TA,TA,Y,TA,Detchd,528,TA,TA,114500
RM,8472,AllPub,1Story,5,5,1963,Gable,Gd,TA,N,TA,CarPort,516,TA,TA,110000
RL,50271,AllPub,1Story,9,5,1981,Gable,Ex,TA,Y,Gd,Attchd,894,TA,TA,385000
RL,7134,AllPub,SLvl,5,5,1955,Gable,TA,TA,Y,TA,Detchd,572,TA,TA,130000
RL,10175,AllPub,1Story,6,5,1964,Gable,TA,TA,Y,TA,Attchd,576,TA,TA,180500
FV,2645,AllPub,2Story,8,5,1999,Gable,Gd,TA,Y,Gd,Attchd,480,TA,TA,172500
RL,11645,AllPub,2Story,7,5,2004,Gable,Gd,TA,Y,Gd,Attchd,565,TA,TA,196500
RL,13682,AllPub,2Story,10,5,2006,Hip,Ex,TA,Y,Gd,BuiltIn,641,TA,TA,438780
RL,7200,AllPub,1Story,5,7,1972,Gable,TA,TA,Y,TA,Detchd,352,TA,TA,124900
RL,13072,AllPub,1Story,6,5,2004,Gable,Gd,TA,Y,Gd,Detchd,576,TA,TA,158000
RM,7200,AllPub,2.5Unf,5,7,1920,Gable,TA,Fa,N,Fa,Detchd,288,TA,TA,101000
RL,6442,AllPub,1Story,8,5,2006,Gable,Gd,Gd,Y,Gd,Attchd,484,TA,TA,202500
RM,10300,AllPub,2Story,7,6,1921,Gable,TA,TA,Y,TA,Detchd,480,TA,TA,140000
RL,9375,AllPub,2Story,7,5,1997,Gable,Gd,TA,Y,Gd,Attchd,645,TA,TA,219500
RL,9591,AllPub,2Story,8,5,2004,Gable,Ex,TA,Y,Gd,BuiltIn,852,TA,TA,317000
RL,19900,AllPub,1Story,7,5,1970,Gable,Gd,TA,Y,TA,Attchd,576,TA,TA,180000
RL,10665,AllPub,1Story,7,5,2003,Gable,Gd,TA,Y,Gd,Attchd,558,TA,TA,226000
RM,4608,AllPub,1Story,4,6,1945,Gable,TA,TA,Y,TA,Attchd,220,TA,TA,80000
RL,15593,AllPub,1.5Fin,7,4,1953,Gable,TA,TA,Y,TA,Attchd,667,TA,TA,225000
RL,13651,AllPub,1Story,7,6,1973,Gable,Gd,TA,Y,TA,Attchd,516,TA,TA,244000
RL,7599,AllPub,1Story,4,6,1982,Gable,TA,TA,Y,TA,Detchd,360,TA,TA,129500
RL,10141,AllPub,2Story,7,5,1998,Gable,Gd,TA,Y,TA,Attchd,427,TA,TA,185000
RL,10200,AllPub,1Story,5,7,1954,Gable,TA,TA,Y,TA,Attchd,490,TA,TA,144900
RM,5790,AllPub,2Story,3,6,1915,Gambrel,Fa,TA,N,TA,Detchd,379,TA,TA,107400
RM,1596,AllPub,SLvl,4,5,1973,Gable,Gd,TA,Y,TA,BuiltIn,297,TA,TA,91000
RL,8475,AllPub,1Story,4,7,1956,Gable,TA,TA,Y,TA,Detchd,283,TA,TA,135750
RM,8635,AllPub,1.5Fin,5,5,1948,Gable,TA,TA,Y,TA,Detchd,240,TA,TA,127000
RL,10778,AllPub,1Story,4,5,1968,Hip,TA,TA,N,TA,Attchd,0,TA,TA,136500
RM,10440,AllPub,2Story,5,6,1910,Gable,TA,TA,Y,TA,Detchd,440,TA,TA,110000
RL,13000,AllPub,2Story,6,6,1968,Gable,Gd,TA,Y,Gd,Attchd,509,TA,TA,193500
RM,4500,AllPub,1Story,6,5,1998,Hip,Ex,Gd,Y,TA,Attchd,405,TA,TA,153500
RL,10206,AllPub,1Story,8,5,2007,Gable,Gd,TA,Y,Gd,Attchd,758,TA,TA,245000
RL,8892,AllPub,1Story,5,5,1960,Gable,TA,TA,Y,TA,Detchd,461,TA,TA,126500
RL,8530,AllPub,SLvl,7,5,1995,Gable,Gd,TA,Y,TA,BuiltIn,400,TA,TA,168500
RL,16059,AllPub,2Story,8,5,1991,Hip,Gd,TA,Y,Gd,Attchd,462,TA,TA,260000
RL,11911,AllPub,2Story,6,5,2005,Gable,Gd,TA,Y,Gd,BuiltIn,400,TA,TA,174000
FV,3951,AllPub,2Story,6,5,2009,Gable,Gd,TA,Y,Gd,Detchd,528,TA,TA,164500
C (all),8470,AllPub,1.5Fin,3,2,1915,Hip,TA,Fa,N,Fa,Attchd,0,TA,TA,85000
RL,8070,AllPub,1Story,4,5,1994,Gable,Gd,TA,Y,TA,Attchd,0,TA,TA,123600
RL,7200,AllPub,1Story,4,5,1950,Gable,TA,TA,Y,TA,Detchd,420,TA,TA,109900
RL,8500,AllPub,1Story,5,3,1961,Hip,TA,TA,Y,TA,Attchd,480,TA,TA,98600
RL,13360,AllPub,1Story,5,7,1921,Gable,Gd,TA,Y,TA,Detchd,432,TA,TA,163500
C (all),7200,AllPub,2.5Unf,6,6,1910,Hip,TA,Fa,N,TA,Detchd,506,TA,TA,133900
RL,9337,AllPub,2Story,6,5,1997,Gable,Gd,TA,Y,Gd,Attchd,684,TA,TA,204750
RL,9765,AllPub,2Story,6,8,1993,Gable,Gd,Gd,Y,TA,BuiltIn,420,TA,TA,185000
RL,10264,AllPub,1Story,7,5,1999,Gable,Gd,TA,Y,Gd,Attchd,472,TA,TA,214000
RL,10921,AllPub,1Story,4,5,1965,Hip,TA,TA,Y,TA,Attchd,432,TA,TA,94750
RL,10625,AllPub,1Story,5,5,1920,Gable,TA,TA,N,TA,Basment,366,Fa,TA,83000
RL,9320,AllPub,1Story,4,5,1959,Gable,TA,TA,Y,TA,Attchd,0,TA,TA,128950
RL,10603,AllPub,1Story,6,7,1977,Gable,TA,TA,Y,Gd,Attchd,480,TA,TA,205000
RL,9206,AllPub,2Story,6,5,1985,Gable,Gd,TA,Y,Gd,Attchd,476,TA,TA,178000
RL,7018,AllPub,1Story,5,5,1979,Gable,TA,TA,Y,TA,Attchd,410,TA,TA,118964
RL,10402,AllPub,1Story,7,5,2009,Gable,Gd,TA,Y,Gd,Attchd,740,TA,TA,198900
RM,7758,AllPub,1.5Fin,7,4,1931,Gable,TA,TA,Y,TA,Detchd,240,TA,TA,169500
FV,9375,AllPub,2Story,8,5,2003,Hip,Ex,TA,Y,Gd,Attchd,648,TA,TA,250000
RM,10800,AllPub,1Story,4,7,1885,Mansard,Fa,TA,Y,TA,Detchd,273,Fa,Fa,100000
RM,6000,AllPub,1Story,5,5,1948,Gable,TA,TA,Y,TA,Detchd,250,TA,TA,115000
RM,8500,AllPub,1.5Fin,5,7,1919,Gable,TA,TA,N,Fa,Attchd,0,TA,TA,115000
RL,11751,AllPub,1Story,6,6,1977,Hip,Gd,TA,Y,TA,Attchd,546,TA,TA,190000
RL,9525,AllPub,1.5Fin,6,4,1954,Gable,TA,Fa,Y,TA,Attchd,325,TA,TA,136900
RL,7750,AllPub,SLvl,7,5,2000,Gable,Gd,TA,Y,TA,BuiltIn,400,TA,TA,180000
RL,9965,AllPub,2Story,7,5,2007,Gable,Ex,TA,Y,Ex,BuiltIn,792,TA,TA,383970
RL,21000,AllPub,1Story,6,5,1953,Hip,Gd,TA,Y,Gd,Basment,450,TA,TA,217000
RL,7259,AllPub,2Story,6,8,1945,Gambrel,TA,TA,Y,Gd,Detchd,180,TA,TA,259500
FV,3230,AllPub,2Story,6,5,1999,Gable,Gd,TA,Y,TA,Detchd,440,TA,TA,176000
RL,11616,AllPub,1Story,5,5,1962,Gable,TA,TA,Y,TA,Attchd,288,TA,TA,139000
RL,8536,AllPub,1Story,5,5,2006,Gable,Gd,TA,Y,TA,Attchd,430,TA,TA,155000
RL,12376,AllPub,2Story,7,5,1990,Hip,Gd,TA,Y,Gd,Attchd,594,TA,TA,320000
RL,8461,AllPub,2Story,6,5,2005,Gable,Gd,TA,Y,Gd,Attchd,390,TA,TA,163990
RL,21453,AllPub,SLvl,6,5,1969,Flat,TA,TA,Y,TA,Attchd,540,TA,TA,180000
RM,6060,AllPub,1.5Fin,4,5,1939,Gable,TA,TA,Y,TA,Detchd,264,TA,TA,100000
RL,9464,AllPub,1Story,6,7,1958,Hip,TA,TA,Y,TA,Attchd,288,TA,TA,136000
RL,7892,AllPub,1Story,6,5,1993,Gable,Gd,TA,Y,Gd,Attchd,530,TA,TA,153900
RL,17043,AllPub,1Story,6,5,1979,Gable,Gd,Fa,Y,TA,Attchd,435,TA,TA,181000
RM,6780,AllPub,1.5Fin,6,8,1935,Gable,TA,TA,N,TA,Attchd,0,TA,TA,84500
RL,4928,AllPub,1Story,6,5,1976,Gable,Gd,TA,Y,TA,Attchd,440,TA,TA,128000
RM,4388,AllPub,1.5Unf,5,7,1930,Gable,TA,TA,Y,TA,Attchd,0,TA,TA,87000
RL,7590,AllPub,2Story,6,5,1966,Gable,TA,TA,Y,TA,Attchd,453,TA,TA,155000
RL,8973,AllPub,1Story,5,7,1958,Gable,TA,TA,Y,Ex,2Types,750,TA,TA,150000
RL,14200,AllPub,2Story,7,6,1966,Gable,TA,TA,Y,Gd,Attchd,487,TA,TA,226000
RL,12224,AllPub,2Story,6,5,2000,Gable,Gd,TA,Y,Gd,BuiltIn,390,TA,TA,244000
RL,7388,AllPub,1Story,5,6,1959,Gable,TA,TA,Y,Gd,Detchd,624,TA,TA,150750
RL,6853,AllPub,1Story,8,5,2001,Gable,Ex,TA,Y,Gd,Attchd,471,TA,TA,220000
RL,10335,AllPub,1Story,5,6,1968,Gable,TA,TA,Y,TA,Attchd,440,TA,TA,180000
RL,10400,AllPub,1Story,7,6,1970,Hip,TA,TA,Y,TA,Attchd,530,TA,TA,174000
RL,10355,AllPub,1Story,5,5,1967,Gable,TA,TA,Y,TA,Attchd,318,TA,TA,143000
RL,11070,AllPub,1Story,7,5,1988,Gable,TA,TA,Y,TA,2Types,766,TA,TA,171000
RL,9066,AllPub,2Story,8,5,1999,Gable,Gd,TA,Y,Gd,Attchd,660,TA,TA,230000
RL,15426,AllPub,2Story,6,5,1997,Gable,Gd,TA,Y,Gd,Attchd,470,TA,TA,231500
RL,10500,AllPub,1Story,4,5,1971,Gable,TA,TA,Y,TA,Attchd,0,TA,TA,115000
RL,11645,AllPub,1Story,7,5,2005,Gable,Gd,TA,Y,Gd,Attchd,660,TA,TA,260000
RL,8520,AllPub,1.5Fin,5,4,1952,Gable,TA,TA,Y,TA,Detchd,720,TA,TA,166000
RL,10335,AllPub,1Story,7,5,1999,Gable,Gd,TA,Y,Gd,Attchd,577,TA,TA,204000
RM,9100,AllPub,1Story,5,5,1963,Gable,TA,TA,Y,TA,Detchd,504,TA,TA,125000
RM,2522,AllPub,2Story,6,5,2004,Gable,Gd,TA,Y,Gd,Detchd,380,TA,TA,130000
RM,6120,AllPub,1Story,5,7,1931,Gable,TA,TA,Y,TA,Detchd,180,Fa,TA,105000
RL,9505,AllPub,2Story,7,5,2001,Gable,Gd,TA,Y,Gd,BuiltIn,434,TA,TA,222500
RL,7500,AllPub,1Story,7,5,2004,Gable,Gd,TA,Y,Gd,Attchd,0,TA,TA,141000
RM,6240,AllPub,1.5Fin,5,4,1936,Gable,Gd,TA,Y,TA,Detchd,240,Fa,TA,115000
RL,10356,AllPub,1Story,5,6,1975,Gable,TA,TA,Y,TA,Attchd,440,TA,TA,122000
RL,13891,AllPub,1Story,8,5,2007,Hip,Ex,TA,Y,Gd,Attchd,866,TA,TA,372402
RL,14803,AllPub,2Story,6,5,1971,Gable,TA,TA,Y,TA,Attchd,495,TA,TA,190000
RL,13500,AllPub,1Story,6,7,1960,Flat,Gd,TA,Y,TA,Attchd,564,TA,TA,235000
RM,11340,AllPub,1Story,6,5,1923,Gable,TA,TA,Y,TA,Detchd,312,Fa,Fa,125000
RL,9600,AllPub,1.5Fin,6,5,1924,Gable,TA,TA,N,TA,Attchd,0,TA,TA,79000
RL,7200,AllPub,1Story,5,7,1950,Hip,TA,TA,Y,TA,Detchd,625,TA,TA,109500
RL,12003,AllPub,2Story,8,5,2009,Gable,Ex,TA,Y,Ex,BuiltIn,680,TA,TA,269500
FV,12552,AllPub,2Story,7,5,2004,Gable,Gd,TA,Y,Gd,Attchd,678,TA,TA,254900
RL,19378,AllPub,2Story,7,5,2005,Gable,Gd,TA,Y,Gd,Attchd,576,TA,TA,320000
RL,11120,AllPub,1Story,6,6,1984,Gable,Gd,TA,Y,TA,Attchd,516,TA,TA,162500
RL,13688,AllPub,2Story,9,5,2003,Gable,Ex,TA,Y,Ex,BuiltIn,726,TA,TA,412500
RL,12182,AllPub,1Story,7,5,2005,Gable,Gd,TA,Y,Gd,Attchd,532,TA,TA,220000
RL,5500,AllPub,1.5Unf,4,6,1956,Gable,TA,TA,Y,TA,Attchd,0,TA,TA,103200
RM,5400,AllPub,1Story,6,7,1926,Gable,TA,TA,Y,Gd,Detchd,216,TA,TA,152000
RL,10106,AllPub,1.5Fin,5,7,1940,Gable,TA,TA,Y,TA,Attchd,0,TA,TA,127500
RL,10708,AllPub,1Story,5,5,1955,Hip,TA,TA,Y,TA,Attchd,303,TA,TA,190000
RL,10562,AllPub,2Story,8,5,2007,Gable,Ex,TA,Y,Ex,Attchd,789,TA,TA,325624
RL,8244,AllPub,2Story,7,5,2004,Gable,Gd,TA,Y,Gd,Attchd,440,TA,TA,183500
RL,16669,AllPub,1Story,8,6,1981,Hip,Gd,TA,Y,TA,Attchd,511,TA,TA,228000
RM,12358,AllPub,1.5Fin,5,6,1941,Gable,TA,TA,Y,TA,Detchd,660,TA,TA,128500
RL,31770,AllPub,1Story,6,5,1960,Hip,TA,Gd,Y,TA,Attchd,528,TA,TA,215000
RL,5306,AllPub,2Story,7,7,1987,Gable,Gd,Gd,Y,Gd,Attchd,504,Gd,TA,239000
RL,10197,AllPub,1Story,6,5,1961,Gable,TA,TA,Y,TA,Attchd,504,TA,TA,163000
RL,12416,AllPub,1Story,6,5,1986,Gable,Gd,Fa,Y,TA,Attchd,616,TA,TA,184000
RL,12615,AllPub,1Story,6,7,1950,Gable,TA,Gd,Y,Gd,Attchd,576,TA,TA,243000
RL,10029,AllPub,2Story,6,5,1988,Gable,Gd,TA,Y,TA,Attchd,521,TA,TA,211000
RL,13650,AllPub,1.5Fin,5,5,1958,Gable,TA,TA,Y,Gd,Attchd,451,TA,TA,172500
RL,17423,AllPub,1Story,9,5,2008,Hip,Ex,TA,Y,Ex,Attchd,1166,TA,TA,501837
RM,8520,AllPub,1Story,5,6,1923,Gable,TA,TA,Y,TA,Detchd,480,Fa,TA,100000
FV,2117,AllPub,2Story,6,5,2000,Gable,Gd,TA,Y,Gd,Detchd,440,TA,TA,177000
RL,7588,AllPub,2Story,7,6,1920,Gable,Fa,TA,Y,TA,Detchd,216,Fa,TA,200100
RL,9060,AllPub,1Story,5,6,1957,Hip,TA,TA,Y,TA,Attchd,252,TA,TA,120000
RM,11426,AllPub,1.5Fin,7,5,2003,Gable,Gd,TA,Y,Gd,Detchd,484,TA,TA,200000
RL,7438,AllPub,1.5Fin,5,8,1908,Gable,Fa,TA,Y,TA,Attchd,576,TA,TA,127000
RM,22950,AllPub,2.5Fin,10,9,1892,Gable,TA,TA,Y,Ex,Detchd,840,Ex,TA,475000
RL,9947,AllPub,SLvl,7,5,1990,Gable,Gd,TA,Y,Gd,Attchd,497,TA,TA,173000
RL,10410,AllPub,1.5Fin,5,7,1916,Gable,Fa,TA,Y,TA,Detchd,180,Fa,Fa,135000
RL,7018,AllPub,SFoyer,5,5,1979,Gable,Gd,TA,Y,TA,Detchd,528,TA,TA,153337
RL,4923,AllPub,1Story,8,5,2001,Gable,Ex,TA,Y,Ex,Attchd,682,TA,TA,286000
RL,10570,AllPub,2Story,8,8,1932,Hip,Gd,Gd,Y,Gd,Detchd,440,TA,TA,315000
RL,7472,AllPub,2Story,7,9,1972,Gable,TA,TA,Y,Gd,Attchd,484,TA,TA,184000
RL,9017,AllPub,1Story,7,5,1999,Gable,Gd,TA,Y,Gd,Attchd,666,TA,TA,192000
RM,2522,AllPub,2Story,7,5,2004,Gable,Gd,TA,Y,Gd,Detchd,380,TA,TA,130000
RL,7180,AllPub,1Story,5,7,1972,Hip,TA,TA,Y,TA,Detchd,352,TA,TA,127000
RL,2280,AllPub,2Story,6,6,1976,Gable,Gd,TA,Y,TA,Attchd,440,TA,TA,148500
RL,9416,AllPub,1Story,7,5,2007,Hip,Ex,TA,Y,Ex,Attchd,786,TA,TA,311872
RL,25419,AllPub,2Story,8,4,1918,Gable,TA,TA,Y,Gd,Detchd,795,TA,TA,235000
RM,5520,AllPub,2.5Fin,6,6,1912,Gable,TA,TA,Y,TA,Attchd,0,TA,TA,104000
RL,9591,AllPub,1Story,8,5,2004,Hip,Ex,TA,Y,Ex,Attchd,856,TA,TA,274900
RM,8546,AllPub,1Story,4,5,2003,Gable,Gd,TA,Y,TA,Attchd,440,TA,TA,140000
RL,10125,AllPub,1Story,6,6,1977,Gable,TA,TA,Y,TA,Detchd,473,TA,TA,171500
RL,7000,AllPub,1.5Fin,6,6,1924,Gable,Fa,TA,Y,TA,Attchd,398,TA,TA,112000
RM,4438,AllPub,1Story,6,5,2004,Gable,Gd,TA,Y,Gd,Attchd,420,TA,TA,149000
RM,3500,AllPub,1.5Fin,5,7,1947,Gable,TA,TA,Y,TA,Detchd,240,TA,TA,110000
RL,11851,AllPub,1Story,7,5,1990,Gable,Gd,TA,Y,TA,Attchd,500,TA,TA,180500
RL,13673,AllPub,1Story,5,5,1962,Gable,TA,TA,Y,TA,Attchd,349,TA,TA,143900
RL,12493,AllPub,1Story,4,5,1960,Gable,TA,TA,Y,TA,Attchd,312,TA,TA,141000
RL,14364,AllPub,2Story,7,5,1988,Gable,Gd,TA,Y,TA,Attchd,454,TA,TA,277000
RL,8250,AllPub,1Story,6,7,1964,Hip,Gd,TA,Y,TA,Attchd,504,TA,Gd,145000
RL,5604,AllPub,1Story,5,6,1925,Gable,TA,TA,N,TA,Attchd,0,TA,TA,98000
RL,10420,AllPub,1Story,6,5,2009,Gable,Gd,TA,Y,Gd,Attchd,460,TA,TA,186000
FV,8640,AllPub,2Story,7,5,2009,Gable,Gd,TA,Y,Gd,Attchd,644,TA,TA,252678
RL,13568,AllPub,1Story,5,5,1995,Gable,Gd,TA,Y,TA,Attchd,576,TA,TA,156000
RL,10900,AllPub,2Story,6,7,1977,Gable,Gd,TA,Y,TA,Attchd,299,TA,TA,161750
RL,10011,AllPub,1Story,5,6,1957,Gable,TA,TA,Y,Gd,Attchd,447,TA,TA,134450
RL,8450,AllPub,1Story,7,5,2004,Gable,Gd,TA,Y,Gd,Attchd,484,TA,TA,210000
RM,9906,AllPub,2Story,4,4,1925,Gable,TA,TA,N,TA,Detchd,210,TA,TA,107000
RL,15660,AllPub,1.5Fin,7,9,1939,Gable,TA,TA,Y,Gd,Attchd,431,TA,TA,311500
RL,3010,AllPub,1Story,7,5,2005,Gable,Gd,TA,Y,Gd,Attchd,438,TA,TA,167240
RL,8990,AllPub,1Story,7,5,2006,Gable,Gd,TA,Y,Gd,Attchd,675,TA,TA,204900
RL,8068,AllPub,2Story,6,5,2002,Gable,Gd,TA,Y,Gd,BuiltIn,390,TA,TA,200000
RL,11475,AllPub,2Story,6,6,1975,Gable,Gd,TA,Y,TA,Attchd,434,TA,TA,179900
RL,10500,AllPub,1Story,4,6,1971,Gable,TA,TA,Y,TA,Detchd,576,TA,TA,97000
RL,13472,AllPub,1Story,10,5,2003,Hip,Ex,TA,Y,Ex,Attchd,968,TA,TA,386250
RM,1680,AllPub,2Story,5,5,1971,Gable,TA,TA,Y,TA,Detchd,280,TA,TA,112000
RL,9950,AllPub,2Story,7,5,1995,Gable,Gd,TA,Y,Gd,Attchd,721,TA,TA,290000
RM,1869,AllPub,2Story,6,6,1970,Gable,TA,TA,Y,TA,Detchd,280,TA,TA,106000
RL,8521,AllPub,1Story,5,5,1967,Gable,TA,TA,Y,TA,Detchd,336,TA,TA,125000
RL,3182,AllPub,1Story,7,5,2005,Gable,Gd,TA,Y,Gd,Attchd,430,TA,TA,192500
RL,8760,AllPub,1Story,6,6,1959,Hip,TA,TA,Y,TA,Attchd,312,TA,TA,148000
RL,15138,AllPub,2Story,8,5,1995,Gable,Gd,TA,Y,Ex,Attchd,810,TA,TA,403000
RM,1680,AllPub,2Story,6,5,1972,Gable,TA,TA,Y,TA,Attchd,288,TA,TA,94500
RL,10650,AllPub,1Story,5,6,1976,Gable,TA,Gd,Y,TA,Attchd,308,TA,TA,128200
RL,7851,AllPub,2Story,6,5,2002,Gable,Gd,TA,Y,Gd,BuiltIn,440,TA,TA,216500
RM,1680,AllPub,2Story,6,3,1971,Gable,TA,TA,Y,TA,Detchd,264,TA,TA,89500
RL,8773,AllPub,1Story,7,5,2004,Gable,Gd,TA,Y,Gd,Attchd,494,TA,TA,185500
RL,9453,AllPub,2Story,7,7,1993,Gable,Gd,TA,Y,Gd,Attchd,457,TA,TA,194500
RL,12030,AllPub,1Story,8,5,2007,Hip,Ex,TA,Y,Gd,Attchd,818,TA,TA,318000
RL,8741,AllPub,1.5Fin,6,4,1945,Gable,TA,Fa,Y,TA,Detchd,220,TA,TA,113000
FV,9000,AllPub,1Story,8,5,2008,Gable,Gd,TA,Y,Gd,Attchd,750,TA,TA,262500
RM,3880,AllPub,1Story,5,9,1945,Gable,TA,TA,Y,Gd,Attchd,0,TA,TA,110500
RM,5000,AllPub,1.5Fin,5,4,1900,Gable,TA,TA,N,TA,Attchd,352,Fa,TA,79000
RL,10762,AllPub,2Story,6,6,1980,Gable,Gd,TA,Y,TA,Attchd,288,TA,TA,120000
RL,8880,AllPub,2Story,7,5,1994,Gable,Gd,TA,Y,Gd,Attchd,463,TA,TA,205000
RL,10400,AllPub,1Story,7,5,1988,Gable,Gd,TA,Y,TA,Attchd,604,TA,TA,241500
RM,9142,AllPub,2Story,6,8,1910,Gable,Fa,TA,N,Fa,Detchd,440,Po,Po,137000
